==18627== Memcheck, a memory error detector
==18627== Copyright (C) 2002-2011, and GNU GPL'd, by Julian Seward et al.
==18627== Using Valgrind-3.7.0 and LibVEX; rerun with -h for copyright info
==18627== Command: RunCollatz.c++.app
==18627== 
524400 811060 1
974772 882127 1
904295 950249 1
289406 361170 1
500687 603308 1
372609 185648 1
168238 101729 1
372234 405977 1
776298 51802 1
598642 160556 1
933463 941807 1
170014 137842 1
275042 27216 1
690737 192746 1
835504 20550 1
64885 359903 1
347961 556008 1
758381 768608 1
506256 47786 1
646129 523294 1
167446 535090 1
708941 852035 1
636818 597527 1
258012 413115 1
165680 373005 1
90023 99142 1
314811 776388 1
753335 589852 1
803603 444071 1
298949 639106 1
464620 363833 1
515360 328933 1
919840 273740 1
97540 942447 1
837878 260020 1
465740 5323 1
795109 691033 1
373709 431926 1
288559 631720 1
361393 454238 1
4724 451415 1
69731 835886 1
227802 823065 1
425737 547756 1
267135 241037 1
186861 248106 1
604869 218572 1
577038 41060 1
8663 190929 1
983506 846540 1
967301 965598 1
368214 762409 1
656630 741923 1
710687 461540 1
889994 588431 1
915777 894718 1
556197 985507 1
246955 300350 1
324923 672692 1
848105 592057 1
913728 551317 1
840162 34949 1
769888 933552 1
76008 778550 1
640832 575866 1
625090 608132 1
541463 509655 1
886893 198092 1
251577 113931 1
175983 141571 1
702361 91759 1
552640 258557 1
593617 799594 1
558906 434891 1
988637 923362 1
26947 418717 1
474678 383460 1
970017 244565 1
833363 46024 1
539466 474195 1
138241 164555 1
598678 679703 1
674210 1922 1
394146 442138 1
115852 570128 1
100060 334564 1
178238 169051 1
109472 288206 1
484997 184729 1
723096 989985 1
108090 266394 1
408701 582767 1
649854 378717 1
343683 999568 1
941093 883149 1
473762 595685 1
564055 588792 1
275388 754616 1
590713 185885 1
196754 222917 1
272365 813165 1
73832 966954 1
498568 183304 1
771512 983564 1
884384 10959 1
973548 992474 1
277353 898601 1
91592 443558 1
793669 951627 1
443125 251113 1
834775 433239 1
846798 398829 1
22030 638537 1
669797 129094 1
824421 382902 1
868362 613137 1
196066 942194 1
96443 694633 1
641849 867954 1
194548 526232 1
878912 684448 1
35057 156264 1
99400 643001 1
599821 893068 1
594627 559298 1
660533 429401 1
992536 507330 1
344581 530917 1
145866 14377 1
660010 486638 1
397278 44724 1
616127 109696 1
503269 712569 1
320680 145117 1
580522 515228 1
187700 459433 1
716027 739109 1
132049 815426 1
382109 248221 1
708493 976735 1
807518 369025 1
922487 316405 1
392706 783419 1
847321 54923 1
314148 23683 1
541561 227777 1
68406 674039 1
337472 571674 1
386607 658152 1
233142 483480 1
689731 937193 1
942912 405757 1
676301 591312 1
221182 574761 1
355885 446026 1
67847 163402 1
331403 990333 1
996159 724108 1
290104 843479 1
779031 604251 1
867161 836943 1
832027 935566 1
510981 685851 1
23591 413939 1
860354 256732 1
897418 550084 1
193925 356681 1
472192 386577 1
947993 693373 1
961338 303877 1
655750 29184 1
983630 987152 1
535869 979788 1
711260 342324 1
339619 6642 1
946574 206779 1
359936 294952 1
658697 387268 1
980802 682287 1
801206 841155 1
939019 214975 1
907590 649295 1
571655 379781 1
552223 35999 1
73153 29912 1
339875 245255 1
59096 839857 1
232406 111316 1
335996 460017 1
453639 675614 1
983010 916564 1
882393 342945 1
211515 541089 1
730212 708669 1
223375 47769 1
549823 678745 1
262743 457413 1
844391 834398 1
353545 396614 1
870396 943050 1
426525 726623 1
188304 1972 1
82831 420709 1
629639 418826 1
880726 599629 1
94440 863735 1
516192 493184 1
723032 727707 1
550624 969595 1
952727 290350 1
17364 502549 1
485447 796458 1
476313 329837 1
630855 829858 1
242802 17603 1
772907 185679 1
260577 961210 1
704002 343407 1
898270 849993 1
278584 295347 1
449621 373023 1
675434 965813 1
382558 398465 1
209871 933181 1
368059 162597 1
739883 901774 1
181497 225329 1
698232 657810 1
71517 845438 1
4019 830671 1
379392 293277 1
16349 639968 1
770838 236702 1
983374 669107 1
86694 261958 1
964454 536315 1
151332 156239 1
18479 50242 1
71055 228349 1
499774 955465 1
907297 239656 1
857239 88793 1
464984 71822 1
262954 52853 1
917259 266972 1
883523 296651 1
560248 416223 1
936618 331085 1
652924 436344 1
516544 255970 1
214653 997349 1
308636 882336 1
153587 327114 1
448929 224641 1
71814 948703 1
180105 979110 1
188358 553695 1
584254 169694 1
625516 847208 1
222546 542775 1
630531 622420 1
355777 190779 1
38642 808746 1
38215 207917 1
761441 554758 1
463886 492445 1
552106 288873 1
374781 705692 1
615986 340061 1
446684 204151 1
288763 143141 1
699612 993473 1
696835 283866 1
679518 322351 1
647425 418415 1
381477 277955 1
40834 253605 1
985085 79475 1
62350 23300 1
803743 340143 1
578057 783981 1
832587 646515 1
72853 723719 1
868558 205191 1
63780 315242 1
925693 352542 1
974734 625305 1
862366 671568 1
425522 541883 1
510270 72946 1
960297 891746 1
350900 1130 1
661702 335985 1
596956 724052 1
875636 400699 1
64194 970044 1
701031 413132 1
616558 773883 1
136851 1468 1
495425 200630 1
316709 421118 1
69523 807794 1
562774 931889 1
479361 988295 1
473771 989631 1
61240 434068 1
397728 928491 1
951549 59430 1
780827 548505 1
299833 656462 1
465555 880378 1
626506 166585 1
293509 759415 1
456819 946711 1
760882 468596 1
663692 593942 1
406065 249567 1
401735 968838 1
181455 881096 1
957132 171577 1
387078 18371 1
121996 301157 1
463213 589897 1
360586 244040 1
138401 176770 1
416853 120307 1
57147 43358 1
803243 867008 1
319125 776413 1
813718 596358 1
245008 993762 1
190300 651072 1
243328 108386 1
619909 941134 1
989481 93392 1
629062 892910 1
628114 751058 1
194067 91327 1
340954 71004 1
335366 995706 1
247774 752218 1
632364 821272 1
311928 435606 1
688279 147404 1
212018 18349 1
743761 973378 1
12110 934060 1
624449 771789 1
42446 760710 1
712922 548278 1
854101 341983 1
957540 998567 1
609392 667958 1
89893 466697 1
738961 941610 1
978754 503086 1
210179 611117 1
324358 38458 1
563074 528988 1
185861 291444 1
63688 445974 1
264821 592149 1
380033 889269 1
363937 938830 1
166330 593210 1
3460 536783 1
451545 477351 1
535349 60936 1
145308 625241 1
43985 400620 1
83202 539090 1
420058 293380 1
666559 744415 1
331838 229632 1
789754 34050 1
521075 853442 1
480023 785895 1
445590 376408 1
191516 809527 1
831589 874197 1
919088 351400 1
410979 370632 1
828750 946327 1
947920 490409 1
87919 991904 1
891029 171120 1
47345 827438 1
464500 713903 1
571852 312689 1
943535 877957 1
346738 980961 1
731398 343113 1
283208 176988 1
719520 474723 1
502866 67460 1
348919 421953 1
418860 276250 1
308937 763961 1
222576 256856 1
254370 826847 1
765111 661750 1
997966 812455 1
489187 978817 1
526358 577390 1
807857 986244 1
455346 670947 1
483556 186744 1
14059 766763 1
880083 249930 1
757837 899300 1
317389 106756 1
837604 736248 1
383005 146540 1
500209 121932 1
919747 270930 1
948778 684857 1
932679 463096 1
13664 938217 1
958264 540021 1
515606 766121 1
42616 970951 1
437067 526171 1
674046 451125 1
809286 70480 1
701054 567122 1
486131 534794 1
190229 840087 1
271042 89585 1
502978 287602 1
211517 422725 1
558531 676646 1
623933 7561 1
656093 637596 1
945777 614357 1
693968 977734 1
380477 736583 1
948684 817543 1
779106 139082 1
785019 104743 1
725913 2424 1
671864 212044 1
537217 862093 1
568482 324610 1
951677 71459 1
128563 679545 1
494183 203445 1
872543 634468 1
211005 528635 1
272063 673133 1
142991 966031 1
650866 39819 1
218965 115902 1
373713 514422 1
254983 158731 1
619164 497247 1
677506 807380 1
225642 731075 1
669472 794123 1
55684 137500 1
865582 184247 1
817045 876116 1
904043 205939 1
510583 115048 1
734573 298998 1
304532 393916 1
781380 955398 1
433734 344 1
71299 323799 1
31118 842633 1
998881 166633 1
856231 676387 1
974012 81873 1
407461 159835 1
875995 463144 1
297335 257928 1
163742 630731 1
650396 67785 1
836669 677330 1
699184 87593 1
976327 3715 1
481508 757706 1
959112 431594 1
274402 546762 1
755392 821871 1
905746 754272 1
988503 761977 1
947010 478867 1
843849 354470 1
638701 236195 1
333966 936035 1
10475 14059 1
83117 660870 1
598195 919785 1
338199 297378 1
523730 830878 1
817445 521589 1
104935 292908 1
953182 895688 1
356022 224925 1
717558 261767 1
495549 222413 1
540095 442558 1
701279 900295 1
313380 339979 1
136490 163697 1
792366 146964 1
177755 391834 1
324185 775950 1
311619 178735 1
589679 351700 1
525964 923475 1
873288 630899 1
216383 342822 1
42938 572404 1
567746 760496 1
350522 579646 1
499260 890617 1
538556 716890 1
790911 368287 1
573220 443752 1
531983 365585 1
107067 709737 1
757419 431251 1
2038 585389 1
126338 108069 1
453440 652301 1
31543 326727 1
283199 764277 1
669548 842489 1
853032 753646 1
602984 203554 1
849643 618595 1
610522 388198 1
335484 401432 1
756484 908703 1
845184 804818 1
790640 468602 1
30907 64410 1
899853 32944 1
166150 542542 1
657364 619589 1
194842 205259 1
462667 994393 1
969535 132215 1
836881 822567 1
402212 956216 1
542472 768206 1
574810 152993 1
156404 426645 1
554424 429239 1
851699 915959 1
750409 642338 1
384561 781315 1
223099 800765 1
330610 905600 1
343306 987974 1
525188 54499 1
193232 987855 1
48891 679118 1
636421 885771 1
18036 554984 1
841986 560507 1
323189 933147 1
713499 995944 1
876143 784275 1
941535 727842 1
216585 691943 1
886531 117497 1
473257 109630 1
918261 803866 1
15229 777918 1
791839 56769 1
832417 501422 1
560975 881307 1
696892 197395 1
283430 714927 1
268730 641767 1
275434 591918 1
91266 505284 1
104214 967408 1
805910 45748 1
695249 538847 1
737690 581780 1
656343 210946 1
207761 90956 1
531163 739341 1
385225 323002 1
796109 217641 1
340775 357083 1
615300 37666 1
70829 898729 1
752593 339558 1
56847 544378 1
447828 148112 1
566013 552041 1
115520 888275 1
597788 327120 1
427121 335477 1
908899 599815 1
62774 633011 1
690770 593936 1
372352 75995 1
433289 168460 1
809987 774064 1
41895 425286 1
328081 112723 1
840366 597025 1
